judul_indo,clean_text,cluster
Rancang Bangun Pengendali Motor BLDC berbasis Mikrokontroler,rancang bangun pengendali motor bldc mikrokontroler,7
PENGEMBANGAN SEDIAAN LEPAS LAMBAT NANOSTRUCTURED LIPID CARRIERS (NLCs) SEBAGAI DRUG DELIVERY MADU KALIMANTAN BARAT UNTUK MENINGKATKAN DAYA INGAT,sediaan lepas lambat nanostructured lipid carriers drug delivery madu daya,10
ANALISIS PENGEMBANGAN DESA WISATA DI DESA JERUJU BESAR KECAMATAN SUNGAI KAKAP KABUPATEN KUBU RAYA KALIMANTAN BARAT,wisata jeruju,10
Desentralisasi Fiskal dan Zakat Terhadap Kemiskinan  di Indonesia,desentralisasi fiskal zakat kemiskinan,10
PERMINTAAN TENAGA KERJA DI PROVINSI KALIMANTAN BARAT,permintaan tenaga kerja,10
Pengendalian penyakit moler pada bawang merah dengan menggunakan isolat bakteri antagonis,pengendalian penyakit moler bawang merah isolat bakteri antagonis,10
SIKAP TERHADAP PASIEN MENJELANG AJAL MELALUI KEPERAWATAN PALIATIF,sikap pasien menjelang ajal keperawatan paliatif,10
KOMPOSISI JENIS IKAN DI SUNGAI AMBAWANG KABUPATEN KUBU RAYA KALIMANTAN BARAT,komposisi jenis ikan,10
DINAMIKA POLITIK LOKAL MEMPENGARUHI PERILAKU  PEMILIH PADA PEMILU PRESIDEN DAN WAKIL PRESIDEN TAHUN  2024 DI KABUPATEN MELAWI KALIMANTAN BARAT,dinamika politik lokal mempengaruhi perilaku pemilih pemilu presiden wakil presiden,10
EFEKTIVITAS EKSTRAK ETANOL DAN EKSTRAK KLOROFORM  SIPUT ONCHIDID (Onchidium thyphae) SEBAGAI PENUMBUH RAMBUT  PADA TIKUS (Rattus norvegicus),efektivitas ekstrak etanol ekstrak kloroform siput onchidid penumbuh rambut tikus,10
PENINGKATAN KEMAMPUAN MENYIMAK SISWA MELALUI PENGGUNAAN ER CENTRAL DALAM PROGRAM EXTENSIVE LISTENING,menyimak er central extensive listening,10
Tanggung Jawab Etik Dan Sosial Mahasiswa dalam Perilaku Akademik,tanggung etik sosial perilaku akademik,10
FINANCIAL FLOW: STUDI KASUS PADA STARTUP  JASA LAYANAN DIGITAL DI PONTIANAK,financial flow startup jasa layanan digital,10
Dinamika Musik Tradisional Dalam Masyarakat: Studi Kasus Strategi Pewarisan Silotuang Di Desa Jagoi Kabupaten Bengkayang,dinamika musik tradisional masyarakat strategi pewarisan silotuang,8
Urgensi Pengembangan Tata Kelola Manajemen Sumber Daya Manusia Aparatur dalam Rangka Peningkatan Kualitas Layanan,urgensi tata kelola manajemen sumber daya manusia aparatur rangka kualitas layanan,0
POTENSI ANTIMIKROBA DAUN BINTANGUR (Calophyllum  soulattri Burm. F) TERHADAP BAKTERI PENGHASIL ESBL,potensi antimikroba daun bintangur bakteri penghasil esbl,10
POTENSI ANTIBAKTERI CANGKANG TELUR AYAM TERHADAP BAKTERI MULTIDRUG-RESISTANT (MDR),potensi antibakteri cangkang telur ayam bakteri multidrug resistant,10
"SKRINING DEPRESI, KECEMASAN, STRES, KEJADIAN ANEMIA DAN PENILAIAN STATUS GIZI PADA SISWA SEKOLAH MENENGAH PERTAMA NEGERI (SMPN) DI KOTA PONTIANAK",skrining depresi kecemasan stres kejadian anemia penilaian status gizi sekolah menengah,1
ANALISIS HAMBATAN GURU MATEMATIKA  DALAM MENGIMPLEMENTASIKAN PERANGKAT PEMBELAJARAN  BERDASARKAN KURIKULUM MERDEKA,hambatan guru mengimplementasikan perangkat pembelajaran berdasarkan kurikulum merdeka,1
Perencanaan Pengembangan Modul Praktikum Mata Kuliah Kendali Industri Melalui Implementasi Pengendalian Motor Tiga Fasa,perencanaan modul praktikum kuliah kendali industri pengendalian motor fasa,10
KOMPARATIF FONOLOGI BAHASA MELAYU DI PROVINSI KALIMANTAN BARAT: KAJIAN DIALEKTOLOGI,komparatif fonologi bahasa kajian dialektologi,4
Pengaruh Literasi Akuntansi terhadap Perilaku Berwirausaha Mahasiswa Akuntansi,literasi akuntansi perilaku berwirausaha akuntansi,10
Menjelajahi Pengaruh Identitas Sosial terhadap Pilihan Perbankan: Implikasinya terhadap Perilaku Nasabah dan Pengambilan Keputusan Keuangan,menjelajahi identitas sosial pilihan perbankan implikasinya perilaku nasabah pengambilan keputusan keuangan,0
KOMPARASI EFEKTIVITAS ANTIHIPERLIPIDEMIA PADA PASIEN PENYAKIT JANTUNG KORONER DI RSUD SULTAN SYARIF MOHAMAD ALKADRIE PONTIANAK,komparasi efektivitas antihiperlipidemia pasien penyakit jantung koroner rsud mohamad,10
"TRANSFORMASI ADAPTIF ARSITEKTUR PERMUKIMAN   TEPIAN SUNGAI DI PONTIANAK  KASUS: KAMPUNG BETING, KAMPUNG TAMBELAN, DAN  KAMPUNG KAMBOJA",transformasi arsitektur permukiman tepian,10
KEEFEKTIFAN PERMAINAN TRADISIONAL TAPO’ PIPIT UNTUK MENSTIMULASI PERKEMBANGAN ANAK USIA DINI,keefektifan permainan tradisional tapo pipit menstimulasi perkembangan anak usia,10
PEMBELAJARAN IMMERSIVE SEBAGAI STIMULASI PERKEMBANGAN ANAK USIA DINI (PENGENALAN KEANEKARAGAMAN AGAMA DI PONTIANAK),pembelajaran immersive stimulasi perkembangan anak usia pengenalan keanekaragaman,10
Analisis Fungsi Pengawasan Pemerintah Daerah Melalui Dinas Perhubungan Dalam Penertiban Angkutan Bus Di Kabupaten Sanggau,fungsi pengawasan pemerintah dinas perhubungan penertiban angkutan bus,10
PENGARUH IKLIM ORGANISASIONAL TERHADAP  BERBAGI PENGETAHUAN DIMEDIASI ORGANIZATIONAL CITIZENSHIP BEHAVIOR DAN KOMITMEN ORGANISASIONAL (STUDI PADA KARYAWAN  KOPERASI  DI KALIMANTAN BARAT),iklim organisasional berbagi pengetahuan dimediasi organizational citizenship behavior komitmen organisasional koperasi,10
Analisis Sifat Fisika dan Kimia Tanah Dalam  Kawasan Hutan Mangrove Di Desa Setapuk Besar Kota Singkawang,sifat fisika kimia hutan mangrove,10
Analisis Faktor-Faktor yang Mempengaruhi Underpricing Saham Pada Saat Initial Public Offering di Bursa Efek Indonesia Periode Tahun 2020-2022,faktor faktor mempengaruhi underpricing saham initial public offering bursa periode,0
Analisis Manajeman Aset Derah Dalam Peningkatan Pendapatan Asli Derah Di Kota Pontianak (Studi Tentang Aset Tetap Berwujud Objek Wisata),manajeman aset derah pendapatan asli derah aset berwujud objek wisata,10
"PERSAINGAN INDUSTRI, EFISIENSI DAN PROT'ITABILITAS PERBANKAN SYARIAH DI INDONESIA: ANALISIS MERGER DAN PANDEMI COVID 19",persaingan industri efisiensi prot itabilitas perbankan syariah merger pandemi covid,10
Potensi dan Peluang Investasi Properti Residensial di Kota Pontianak,potensi peluang investasi properti residensial,10
VOLATILITAS NILAI TUKAR RUPIAH TERHADAP DOLAR AS PENDEKATAN MODEL DINAMIS,volatilitas nilai tukar rupiah dolar as dinamis,0
SKRINING POTENSI BATANG BROTOWALI  (Tinospora crispa L.) SEBAGAI ANTIDIARE,skrining potensi batang brotowali antidiare,10
PENILAIAN MATA PELAJARAN STRUKTUR FRASE BAHASA INGGRIS YANG DIAJARKAN SECARA DEDUKTIVITAS PADA SISWA PROGRAM STUDI PENDIDIKAN BAHASA INGGRIS,penilaian struktur frase bahasa diajarkan deduktivitas bahasa,4
PEMBERDAYAAN MASYARAKAT MELALUI CREDIT UNION KHATULISTIWA BHAKTI TERHADAP ANGGOTANYA  DI KECAMATAN SUNGAI RAYA KABUPATEN KUBU RAYA,pemberdayaan masyarakat credit union khatulistiwa bhakti anggotanya,8
DAMPAK DESENTRALISASI DAN KONDISI INFRASTRUKTUR DAN SUMBER DAYA MANUSIA TERHADAP PERTUMBUHAN EKONOMI (STUDI KASUS PADA KABUPATEN DAN KOTA DI INDONESIA),desentralisasi kondisi infrastruktur sumber daya manusia pertumbuhan ekonomi,3
Mengembangkan Interaksi Sosial Guna Menciptakan Hubungan Baik Masyarakat Desa Sentangau Jaya Kecamatan Seluas Kabupaten Bengkayang Perbatasan Negara Indonesia Dan Negara Malaysia,mengembangkan interaksi sosial menciptakan hubungan masyarakat sentangau perbatasan negara negara,8
PEMBATASAN HAK KEBEBASAN BERAGAMA BERDASARKAN KOVENAN INTERNASIONAL TENTANG HAK-HAK SIPIL DAN POLITIK DAN IMPLEMENTASINYA DI NEGARA INDONESIA,pembatasan hak kebebasan beragama berdasarkan kovenan internasional hak hak sipil politik implementasinya negara,10
Analisis Kebutuhan Keberadaan Unit Internasionalisasi di FKIP Untan: Langkah Menuju Pendidikan Global yang Berkualitas,kebutuhan keberadaan unit internasionalisasi langkah global berkualitas,10
Investigasi Pengalaman Belajar Bahasa Inggris Siswa Indonesia dengan GPT,investigasi pengalaman belajar bahasa gpt,4
UPAYA POSYANDU DALAM PENCEGAHAN STUNTING DI DESA SUNGAI BAKAU KECIL KECAMATAN MEMPAWAH TIMUR KABUPATEN MEMPAWAH,upaya posyandu pencegahan stunting,10
PENGUJIAN DAYA FUNGISIDA EKSTRAK MINYAK ATSIRI,pengujian daya fungisida ekstrak minyak atsiri,10
Analisis Pertumbuhan Ekonomi Asia,pertumbuhan ekonomi,3
PENGEMBANGAN ASESMEN FISIKA MENGGUNAKAN EVIDENCE-CENTERED DESIGN (ECD) UNTUK MENGUKUR KOMPETENSI  SISWA SMA,asesmen fisika evidence centered design mengukur kompetensi,10
"PENGARUH INFLUENCER, REPUTASI BURSA EFEK, DAN PERSEPSI RISIKO TERHADAP KEPUTUSAN INVESTASI KAUM MILLENNIAL DI BURSA EFEK DENGAN LITERASI KEUANGAN SEBAGAI VARIABEL MEDIATING",influencer reputasi bursa risiko keputusan investasi kaum millennial bursa literasi keuangan variabel mediating,0
Keterkaitan Kecerdasan Sosial Dengan Nilai Mata Kuliah keterampilan Komunikasi Dasar Konseling Mahasiswa Prodi Bimbingan Konseling FKIP UNTAN Angkatan 2022/2023,keterkaitan kecerdasan sosial nilai kuliah keterampilan komunikasi konseling prodi bimbingan konseling,0
VISUALISASI ALJABAR MATEMATIS BERBANTUAN SOFTWARE MATEMATIKA BERPLATFORM E-LEARNING EDLINK : STUDI KASUS ALJABAR,visualisasi aljabar matematis berbantuan software berplatform learning edlink aljabar,10
FAKTOR KEKALAHAN PASANGAN CALON PRESIDEN DAN CALON WAKIL PRESIDEN GANJAR PRANOWO-MAHFUD M.D PADA PEMILIHAN PRESIDEN 2024  DI KABUPATEN LANDAK,faktor kekalahan pasangan calon presiden calon wakil presiden ganjar pranowo mahfud m d pemilihan presiden,9
Pemberdayaan Karyawan dan Self Efficacy : Implikasi Meningkatkan Kinerja Layanan Nasabah di Industri Perbankan (Studi Kasus: Bank BTN Cabang Pontianak),pemberdayaan self efficacy implikasi kinerja layanan nasabah industri perbankan,0
NILAI - NILAI ETIS DALAM SASTRA NUSANTARA,nilai nilai etis sastra nusantara,0
KAJIAN BENTANG ALAM DAN BENTANG BUDAYA  WILAYAH BENGKAYANG DAN SEKITARNYA,kajian bentang alam bentang budaya wilayah,10
"Penanganan darurat, persiapan mental sebelum latihan, dan kompetisi pada pertandingan sepak bola",penanganan darurat persiapan mental latihan kompetisi pertandingan sepak bola,10
PROFIL SELF-DETERMINATION MAHASISWA PROGRAM STUDI MAGISTER PENDIDIKAN MATEMATIKA: UPAYA MEMAHAMI MOTIVASI MENJADI GURU PROFESIONAL,profil self determination magister upaya memahami motivasi guru profesional,9
MODEL IMPLEMENTASI KEBIJAKAN ELECTROIC TRAFIC LAW ENFORCEMENT (ELTE) BERBASIS E-GOVERNMENT  DI KALIMANTAN BARAT,kebijakan electroic trafic law enforcement government,10
Independent language learning with ChatGPT,independent language learning with chatgpt,10
Pengembangan Kegiatan Praktikum Biologi Berbasis Literasi Kuantitatif untuk Melatih Keterampilan Proses Sains Siswa.,kegiatan praktikum literasi kuantitatif melatih keterampilan proses sains,10
KAJIAN ASPEK K3 DAN EFISIENSI BIAYA METODE PELAKSANAAN  PELINDUNG KERJA INOVATIF  TERHADAP METODE PELINDUNG KERJA KONVENSIONAL UNTUK  PEKERJAAN KONSTRUKSI DI KETINGGIAN PADA  BANGUNAN GEDUNG,kajian aspek efisiensi biaya pelindung kerja inovatif pelindung kerja konvensional pekerjaan konstruksi ketinggian bangunan gedung,10
KEEFEKTIFAN KONSELING KELOMPOK REBT UNTUK MEREDUKSI FEAR OF MISSING OUT (FOMO) PADA MAHASISWA PROGRAM STUDI BIMBINGAN DAN KONSELING FKIP UNTAN,keefektifan konseling kelompok rebt mereduksi fear missing out bimbingan konseling,10
Uji Kadar Antosianin dan Aktivitas Antioksidan pada Buah Alkesah (Pouteria compechiana) Sebagai Sumber Antioksidan Alami,uji kadar antosianin antioksidan buah alkesah pouteria sumber antioksidan alami,10
PENERAPAN MODEL ECIRR BERBANTUAN PHET SIMULATION UNTUK MENGATASI MISKONSEPSI MAHASISWA CALON GURU FISIKA  TENTANG USAHA DAN ENERGI,ecirr berbantuan phet simulation mengatasi miskonsepsi calon guru fisika usaha energi,9
KUALITAS PEREMPUAN DAN PARTISIPASI KERJA PEREMPUAN TERHADAP KESEJAHTERAAN PEREMPUAN DI KALIMANTAN BARAT,kualitas perempuan partisipasi kerja perempuan kesejahteraan perempuan,10
Pengaruh Beban Kerja Terhadap Komitmen Organisasi melalui Stres Kerja dan Motivasi  Kerja sebagai Variabel Mediasi pada Honda Trio Banjarmasin,beban kerja komitmen organisasi stres kerja motivasi kerja variabel mediasi honda trio,10
MENELISIK BIAYA DAN METODE PENENTUAN HARGA PADA THRIFT SHOP,menelisik biaya penentuan harga thrift shop,10
OPTIMALISASI PENCEGAHAN KORUPSI OLEH KEPALA DESA TERHADAP PENGELOLAAN ANGGARAN DANA DESA DI KABUPATEN KETAPANG KALIMANTAN BARAT,optimalisasi pencegahan korupsi pengelolaan anggaran dana,10
IMPLEMENTASI APLIKASI BERBASIS WEB ONLINE SINGLE SUBMISSION RISK BASED APPROACH (OSS-RBA) DALAM PELAYANAN PUBLIK PADA KANTOR KECAMATAN SUNGAI AMBAWANG KABUPATEN KUBU RAYA,aplikasi web online single submission risk approach pelayanan publik kantor,10
Kajian Dampak E-Learning terhadap Kemahiran Bahasa Inggris: Survei Persepsi Pembelajar Bahasa di Era Pasca-Pandemi,kajian learning kemahiran bahasa survei pembelajar bahasa era pasca pandemi,4
DIVERSITAS BAKTERI SELULOLITIK DAN LIGNOLITIK DARI  PELEPAH NIPAH DAN SUBSTRAT HABITAT CACING NIPAH   DI MUARA SUNGAI KAKAP,diversitas bakteri selulolitik lignolitik pelepah nipah substrat habitat cacing nipah,10
IMPLEMENTASI COLLABORATIVE LEARNING PADA MAHASISWA PENDIDIKAN BIOLOGI PADA MATA KULIAH BELAJAR PEMBELAJARAN,collaborative learning kuliah belajar pembelajaran,2
Kajian Etnobotani Famili Zingiberaceae Yang Dimanfaatkan Oleh Masyarakat di Desa Raut Muara Kabupaten Sanggau Kalimantan Barat,kajian etnobotani famili zingiberaceae dimanfaatkan masyarakat raut,8
KAJIAN EKSPERIMEN SISTEM PENDINGIN RUANGAN BERBASIS TERMOELEKTRIK DENGAN SUMBER ENERGI DARI PANEL SURYA,kajian eksperimen pendingin ruangan termoelektrik sumber energi panel surya,10
Pengembangan Kartu Permainan Berbasis Literasi Digital Pada Materi  Hidrokarbon,kartu permainan literasi digital materi hidrokarbon,10
IDENTIFIKASI PROSOSIAL SEBAGAI PERILAKU ORGANISASI DALAM MENUNJANG KEBERHASILAN (STUDI PADA MAHASISWA S2 AP FKIP-UNTAN),identifikasi prososial perilaku organisasi menunjang keberhasilan,10
PENGGUNAAN APLIKASI WORDWALL PADA PEMBELAJARAN IPAS DI KELAS IV B SEKOLAH DASAR NEGERI 17 PONTIANAK KOTA,aplikasi wordwall pembelajaran kelas sekolah,2
PENERAPAN MODEL PEMBELAJARAN PROJECT BASED LEARNING DALAM PROSES PEMBELAJARAN MENULIS TEKS PIDATO OLEH GURU BAHASA INDONESIA SMP NEGERI 1 KOTA PONTIANAK TAHUN 2024,pembelajaran project learning proses pembelajaran menulis teks pidato guru bahasa,9
MODEL PENGUATAN KEMITRAAN ATAS PENGELOLAAN KAWASAN AGROPOLITAN HIJAU EMBAU KABUPATEN KAPUAS HULU,penguatan kemitraan pengelolaan agropolitan hijau embau,10
PENGEMBANGAN EKONOMI KREATIF BERBASIS  PARTICIPATORY RURAL APPRAISAL (PRA)  PADA UMKM SEDAYUNG KECAMATAN TERIAK KAB BENGKAYANG,ekonomi kreatif participatory rural appraisal sedayung,3
GEOCELL BERBAHAN BAKU SERAT SABUT KELAPA  SEBAGAI MEDIA PENDUKUNG SOIL REINFORCEMENT PADA KONSTRUKSI JALAN DI TANAH LUNAK,geocell berbahan baku serat sabut kelapa media pendukung soil reinforcement konstruksi lunak,10
PERFORMA KONDISI FISIK ATLET PUSAT PELATIHAN DAERAH KONI PROVINSI KALIMANTAN BARAT MENUJU PON XXI ACEH-SUMUT 2024,performa kondisi fisik atlet pusat pelatihan koni,10
ANALISIS DAYA TAHAN KARDIOVASKULAR ATLET BELADIRI KALIMANTAN BARAT PERSIAPAN PELATDA PON XXI,daya tahan kardiovaskular atlet beladiri persiapan pelatda,10
Pengembangan Virtual Reality Situs Sejarah Kota Singkawang Sebagai Media Pembelajaran Sejarah Lokal,virtual reality situs sejarah media pembelajaran sejarah lokal,5
APLIKASI METODE REMOTE SENSING DAN GIS UNTUK PEMANTAUAN BANJIR DI KABUPATEN SAMBAS,aplikasi remote sensing gis pemantauan banjir,10
ANALISIS KEMAMPUAN MENYUSUN BAHAN AJAR MENGGUNAKAN APLIKASI CANVA  PADA MAHASISWA PROGRAM STUDI S1 PGSD,menyusun bahan aplikasi canva,10
KETERLAKSANAAN PROGRAM MAGANG SEKOLAH PENGGERAK DALAM RANGKA IMPLEMENTASI KURIKULUM MERDEKA  DI SEKOLAH DASAR LKIA PONTIANAK,keterlaksanaan sekolah penggerak rangka kurikulum merdeka sekolah lkia,1
Karakter Morfologi dan Hubungan Filogenetik Kandis (Garcinia parvifolia) sebagai Tanaman Potensial Asal Kalimantan Barat.,karakter morfologi hubungan filogenetik kandis tanaman potensial,10
Penerapan Teknologi IoT dan WSN Dalam Pengamatan Cuaca dan Angin di Pontianak,teknologi pengamatan cuaca angin,10
"MORFOLOGI, ANATOMI, HISTOKIMIA, DAN FITOKIMIA PADA UMBI Amorphophallus hewittii Alderw. YANG BERPOTENSI SEBAGAI SUMBER GLUKOMANNAN",morfologi anatomi histokimia fitokimia umbi hewittii alderw berpotensi sumber glukomannan,10
HUBUNGAN GAYA BELAJAR DAN KEMANDIRIAN BELAJAR  DENGAN HASIL BELAJAR EKONOMI PADA KELAS XI IPS   DI SMA NEGERI 1 BANYUKE HULU KAB. LANDAK,hubungan gaya belajar kemandirian belajar belajar ekonomi kelas ips,2
PENERAPAN INTERNET OF THINGS (IoT) PADA MENAJEMEN DAN PEMANTAUAN PEMAKAIAN DAYA LISTRIK RUMAH TANGGA,internet things menajemen pemantauan pemakaian daya listrik rumah tangga,10
Ikhtiofauna Pada Danau Ox Bow Kabupaten Kubu Raya,ikhtiofauna,10
Software Integration Pada Aplikasi Pengelolaan Berkas Berbasis Google Drive API dengan Aplikasi Pembuatan Berita Acara dan Penilaian Seminar/Sidang Skripsi,software integration aplikasi pengelolaan berkas google drive api aplikasi pembuatan berita acara penilaian seminar sidang skripsi,10
IMPLEMENTASI MODEL PJBL PADA MATA KULIAH KETERAMPILAN DASAR MENGAJAR BAGI MAHASISWA PENDIDIKAN BIOLOGI  FKIP UNTAN TAHUN 2023/2024,pjbl kuliah keterampilan mengajar,10
JEJARING AKTOR DALAM IMPLEMENTASI PROGRAM KETAHANAN PANGAN DI KABUPATEN SAMBAS (Actor Networking in the Implementation Program of Food Security  in Sambas Regency),jejaring aktor ketahanan pangan actor networking implementation food security regency,10
KELIMPAHAN DAN KEANEKARAGAMAN IKAN KARANG DI PERAIRAN PULAU PENATA BESAR KABUPATEN BENGKAYANG KALIMANTAN BARAT,kelimpahan keanekaragaman ikan karang perairan penata,10
Pertumbuhan Planlet Jeruk Siam Pontianak (Citrus nobilis var microcarpa) yang diperoleh melalui Indirec Somatic Embryogenesis,pertumbuhan planlet jeruk siam diperoleh indirec somatic embryogenesis,10
PETA VISUALISASI RISET AUTISME DI INDONESIA DARI TAHUN 2000-2023 MENGGUNAKAN BIBLIOSHINY,peta visualisasi riset autisme biblioshiny,10
PENYUSUNAN ROADMAP UNIT RISET PENDIDIKAN DI WILAYAH PERBATASAN: STUDI DELPHI,penyusunan roadmap unit riset wilayah perbatasan delphi,10
SEJARAH PERKEMBANGAN KOTA SINGKAWANG PADA ABAD 19 SAMPAI ABAD 20,sejarah perkembangan,10
Eksplorasi Persepsi Mahasiswa Kedokteran tentang Kepemimpinan : Studi Fenomenologi di Negara Berkembang tentang Kepemimpinan dan Profesionalisme Dokter,eksplorasi kedokteran kepemimpinan fenomenologi negara berkembang kepemimpinan profesionalisme dokter,10
PENENTUAN KADAR ALKALOID TOTAL FRAKSI BERPOTENSI AKTIF ANTIKANKER TUMBUHAN Campnosperma auriculatum dan Litsea firma (Blume) Hook F,penentuan kadar alkaloid total fraksi berpotensi aktif antikanker tumbuhan campnosperma auriculatum litsea firma hook,10
Sintesis Reduced Graphene Oxide dengan Pereduksi Hijau untuk Meghilangkan Logam Berat pada Air,sintesis reduced graphene oxide pereduksi hijau meghilangkan logam berat,10
Kontribusi pemahaman guru EFL tentang pengajaran reflektif terhadap praktik reflektif mereka,kontribusi pemahaman guru pengajaran reflektif praktik reflektif,9
NILAI SOSIAL DALAM TARI TANDAK SAMBAS DI KABUPATEN SAMBAS KALIMANTAN BARAT,nilai sosial tari tandak,0
Pengembangan Media Pembelajaran Tari Mocier Bunga Tujoh,media pembelajaran tari mocier bunga tujoh,5
APLIKASI FORMULASI CAIR Trichoderma harzianum (R3) INDIGENOUS  RIZOSFER JERUK SIAM DI TANAH GAMBUT KALIMANTAN BARAT PADA TANAMAN JERUK SIAM (Citrus nobilis var Microcarpa),aplikasi formulasi cair trichoderma harzianum indigenous rizosfer jeruk siam gambut tanaman jeruk siam,10
APLIKASI FORMULASI CAIR Trichoderma harzianum (R3) INDIGENOUS   RIZOSFER JERUK SIAM DI TANAH GAMBUT KALIMANTAN BARAT PADA TANAMAN JERUK SIAM (Citrus nobilis var Microcarp,aplikasi formulasi cair trichoderma harzianum indigenous rizosfer jeruk siam gambut tanaman jeruk siam microcarp,10
ANALISIS VIDEO ANIMASI SEBAGAI MEDIA PEMBELAJARAN PERIBAHASA 36 STRATEGI SUN TZU,animasi media pembelajaran peribahasa strategi sun tzu,5
"INOVASI MODEL PENDIDIKAN EKONOMI KELUARGA PELAKU USAHA KECIL: EKSPLORASI PROSES BELAJAR, LINGKUNGAN, BUDAYA DAN TEKNOLOGI DI KALIMANTAN BARAT",inovasi ekonomi keluarga pelaku usaha eksplorasi proses belajar lingkungan budaya teknologi,10
PENGEMBANGAN BUKU AJAR DASAR-DASAR INSTRUMEN GESEK BAGI MAHASISWA PRODI PENDIDIKAN SENI PERTUNJUKAN FKIP UNTAN,buku instrumen gesek prodi seni pertunjukan,10
PENGARUH TINGKAT AKTIVITAS FISIK DAN TINGKAT KEBUGARAN JASMANI TERHADAP MOTORIK MAHASISWA OLAHRAGA,tingkat fisik tingkat kebugaran jasmani motorik olahraga,10
EFEKTIVITAS PEMBELAJARAN BERBASIS ISU SOSIOSAINTIFIK LOKAL TERHADAP PENALARAN KRITIS  CALON GURU BIOLOGI,efektivitas pembelajaran isu sosiosaintifik lokal penalaran kritis calon guru,9
Studi Religiosity Animosity dan Consumer Efficacy Terhadap Boycott Participation Pada Produk-Produk Afiliasi Israel: Peran Moderasi Xenocentrism,religiosity animosity consumer efficacy boycott participation produk produk afiliasi israel peran moderasi xenocentrism,10
BENTUK DAN REFERENSI LEKSIKON MAKIAN MELAYU SAMBAS SEBAGAI PENGETAHUAN DALAM MITIGASI KASUS HUKUM PIDANA PENGHINAAN: ANALISIS SOSIOPRAGMATIK,bentuk referensi leksikon makian pengetahuan mitigasi hukum pidana penghinaan sosiopragmatik,10
RESPONS MORFOFISIOLOGI CABAI PERANGGI (CAPSICUM ANNUM L. VAR CHINENSIS) TERHADAP CEKAMAN KEKERINGAN,respons morfofisiologi cabai peranggi cekaman kekeringan,10
UJI KADAR ANTOSIANIN DAN AKTIVITAS ANTIOKSIDAN PADA BUAH ALKESA (Pouteria compechiana)  SEBAGAI SUMBER ANTIOKSIDAN ALAMI,uji kadar antosianin antioksidan buah alkesa pouteria sumber antioksidan alami,10
PENGEMBANGAN E-MODUL HYPERCONTENT BERBASIS IMMERSIVE LEARNING DALAM UPAYA MENINGKATKAN KEMAMPUAN SPASIAL MATEMATIS,modul hypercontent immersive learning upaya spasial matematis,10
PENERAPAN MODEL PJBL PADA MATA KULIAH  MENULIS KREATIF MAHASISWA  PRODI PENDIDIKAN BAHASA INDONESIA  DALAM MENCIPTA ANTOLOGI CERPEN,pjbl kuliah menulis kreatif prodi bahasa mencipta antologi cerpen,4
OPTIMALISASI KETERAMPILAN KOLABORASI DALAM MENINGKATKAN KEMAMPUAN MAHASISWA MERANCANG ASESMEN AUTENTIK,optimalisasi keterampilan kolaborasi merancang asesmen autentik,10
Kearifan Lokal dan Penerapannya Dalam Pembelajaran Seni dan Budaya Pada Kurikulum Merdeka Di Sekolah Dasar Kabupaten Kubu Raya,kearifan lokal penerapannya pembelajaran seni budaya kurikulum merdeka sekolah,1
MANAJEMEN PROGRAM LITERASI RUMAH PINTAR  PUNGGUR CERDAS KABUPATEN KUBU RAYA,manajemen literasi rumah pintar punggur cerdas,10
LEKSIKON TANAMAN OBAT DALAM BAHASA MAKASSAR  DI KABUPATEN PANGKEP SULAWESI SELATAN,leksikon tanaman obat bahasa makassar,4
Urgensi Literasi Pajak Pada Generasi Z dalam menyongsong Indonesia emas 2045,urgensi literasi pajak generasi z menyongsong emas,10
ANALISIS KANDUNGAN KALSIUM (Ca) PADA TANAMAN PORANG (AMORPHOPHALLUS ONCOPHYLLUS),kandungan kalsium ca tanaman porang,10
Pemanfaatan Teknologi Artificial Intelligences (AI) Dalam Pembelajaran Bahasa Mandarin,teknologi artificial intelligences pembelajaran bahasa,4
ANALISIS UNCERTAINTY AND DATA UNTUK CALON GURU MATEMATIKA,uncertainty data calon guru,9
Desa Konstitusi: Perwujudan Nilai Pancasila Serta Konstitusi dalam Kehidupan Masyarakat dan Penyelenggaraan Pemerintahan Desa,konstitusi perwujudan nilai pancasila konstitusi kehidupan masyarakat penyelenggaraan pemerintahan,8
PENGUATAN KOMPETENSI ETIK DALAM KOMUNIKASI DIGITAL PADA SISWA DI KALIMANTAN BARAT,penguatan kompetensi etik komunikasi digital,10
Menganalisis Bahasa Figuratif dalam Puisi ‘Still I Rise’ Karya Mahasiswa Program Studi Pendidikan Bahasa Inggris Universitas Tanjungpura Pontianak,menganalisis bahasa figuratif puisi still rise karya bahasa,4
VIDEO DOKUMENTER KUSMINDARI TRIWATI  SEBAGAI TOKOH SENI TARI DI KOTA PONTIANAK,dokumenter kusmindari triwati tokoh seni tari,10
Tinjauan Pustaka Sistematis mengenai Instrumen-Instrumen dalam Penelitian-Penelitian Mutakhir Pengembangan Bahan Ajar Bahasa Inggris Berbasis Teknologi Informasi di Indonesia,tinjauan pustaka sistematis instrumen instrumen penelitian penelitian mutakhir bahan bahasa teknologi informasi,10
ANALISIS KEBUTUHAN PENGGUNA UNIT SAHABAT MAHASISWA FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN UNIVERSITAS TANJUNGPURA,kebutuhan pengguna unit sahabat keguruan ilmu,10
